Car_Name,Selling_Price,km_driven,Fuel_Type,Seller_Type,Transmission
Maruti 800 AC,60000,70000,Petrol,Individual,Manual
Maruti Wagon R LXI Minor,135000,50000,Petrol,Individual,Manual
Hyundai Verna 1.6 SX,600000,100000,Diesel,Individual,Manual
Datsun RediGO T Option,250000,46000,Petrol,Individual,Manual
Honda Amaze VX i-DTEC,450000,141000,Diesel,Individual,Manual
Maruti Alto LX BSIII,140000,125000,Petrol,Individual,Manual
Hyundai Xcent 1.2 Kappa S,550000,25000,Petrol,Individual,Manual
Tata Indigo Grand Petrol,240000,60000,Petrol,Individual,Manual
Hyundai Creta 1.6 VTVT S,850000,25000,Petrol,Individual,Manual
Maruti Celerio Green VXI,365000,78000,CNG,Individual,Manual
Chevrolet Sail 1.2 Base,260000,35000,Petrol,Individual,Manual
Tata Indigo Grand Petrol,250000,100000,Petrol,Individual,Manual
Toyota Corolla Altis 1.8 VL CVT,1650000,25000,Petrol,Dealer,Automatic
Maruti 800 AC,60000,70000,Petrol,Individual,Manual
Maruti Wagon R LXI Minor,135000,50000,Petrol,Individual,Manual
Hyundai Verna 1.6 SX,600000,100000,Diesel,Individual,Manual
Datsun RediGO T Option,250000,46000,Petrol,Individual,Manual
Honda Amaze VX i-DTEC,450000,141000,Diesel,Individual,Manual
Maruti Alto LX BSIII,140000,125000,Petrol,Individual,Manual
Hyundai Xcent 1.2 Kappa S,550000,25000,Petrol,Individual,Manual
Tata Indigo Grand Petrol,240000,60000,Petrol,Individual,Manual
Hyundai Creta 1.6 VTVT S,850000,25000,Petrol,Individual,Manual
Maruti Celerio Green VXI,365000,78000,CNG,Individual,Manual
Chevrolet Sail 1.2 Base,260000,35000,Petrol,Individual,Manual
Tata Indigo Grand Petrol,250000,100000,Petrol,Individual,Manual
Toyota Corolla Altis 1.8 VL CVT,1650000,25000,Petrol,Dealer,Automatic
Maruti Ciaz VXi Plus,585000,24000,Petrol,Dealer,Manual
Hyundai Venue SX Opt Diesel,1195000,5000,Diesel,Dealer,Manual
Chevrolet Enjoy TCDi LTZ 7 Seater,390000,33000,Diesel,Individual,Manual
Jaguar XF 2.2 Litre Luxury,1964999,28000,Diesel,Dealer,Automatic
Mercedes-Benz New C-Class 220 CDI AT,1425000,59000,Diesel,Dealer,Automatic
Maruti Vitara Brezza ZDi Plus AMT,975000,4500,Diesel,Dealer,Automatic
Audi Q5 2.0 TDI,1190000,175900,Diesel,Dealer,Automatic
Honda City V MT,930000,14500,Petrol,Dealer,Manual
Tata Tigor 1.2 Revotron XT,525000,15000,Petrol,Individual,Manual
Audi A6 2.0 TDI  Design Edition,1735000,50000,Diesel,Dealer,Automatic
Mercedes-Benz New C-Class C 220 CDI Avantgarde,1375000,33800,Diesel,Dealer,Automatic
Skoda Superb Ambition 2.0 TDI CR AT,450000,130400,Diesel,Dealer,Automatic
Toyota Corolla Altis G AT,900000,50000,Petrol,Individual,Automatic
Toyota Innova 2.5 G (Diesel) 7 Seater,1300000,80000,Diesel,Individual,Manual
Jeep Compass 1.4 Sport Plus BSIV,1400000,10000,Petrol,Individual,Manual
Mercedes-Benz E-Class E 200 CGI Elegance,850000,119000,Petrol,Dealer,Automatic
Hyundai i10 Magna 1.1L,229999,60000,Petrol,Individual,Manual
BMW 3 Series 320d Sport Line,1550000,75800,Diesel,Dealer,Automatic
Audi Q7 35 TDI Quattro Premium,1250000,78000,Diesel,Dealer,Automatic
Hyundai Elantra CRDi S,625000,40000,Diesel,Individual,Manual
Mahindra Scorpio 1.99 S10,1050000,50000,Diesel,Individual,Manual
Honda City i DTEC V,560000,74000,Diesel,Individual,Manual
Maruti Wagon R VXI BS IV with ABS,290000,64000,Petrol,Individual,Manual
Maruti Wagon R VXI BS IV,275000,60000,Petrol,Individual,Manual
Mahindra Scorpio LX,411000,120000,Diesel,Individual,Manual
Hyundai Santro Xing GLS,150000,79000,Petrol,Individual,Manual
Hyundai Grand i10 1.2 Kappa Asta,500000,15000,Petrol,Individual,Manual
Maruti Alto LXi,100000,80000,Petrol,Individual,Manual
Maruti Swift Dzire VDI Optional,725000,18500,Diesel,Dealer,Manual
Maruti Eeco 5 Seater AC BSIV,401000,10200,Petrol,Dealer,Manual
Hyundai i20 Sportz 1.4 CRDi,750000,29000,Diesel,Dealer,Manual
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,310000,28000,Petrol,Dealer,Manual
Maruti Swift ZDi BSIV,665000,46000,Diesel,Dealer,Manual
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,465000,70000,Diesel,Dealer,Manual
Maruti Alto LXi,160000,60000,Petrol,Individual,Manual
Mahindra Jeep CL 500 MDI,250000,35000,Diesel,Individual,Manual
Honda City i DTEC VX,675000,90000,Diesel,Dealer,Manual
Maruti Wagon R VXI BS IV,300000,80000,Petrol,Dealer,Manual
Tata Indica DLS,70000,80000,Diesel,Individual,Manual
Hyundai EON Magna Plus,240000,73300,Petrol,Dealer,Manual
Toyota Etios GD,525000,92000,Diesel,Dealer,Manual
Maruti Alto LXi,151000,66764,Petrol,Dealer,Manual
Maruti Alto LXi,140000,100000,Petrol,Individual,Manual
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,280000,350000,Diesel,Individual,Manual
Toyota Corolla Altis Diesel D4DG,350000,230000,Diesel,Individual,Manual
Mahindra Scorpio 1.99 S6 Plus,570000,60000,Diesel,Individual,Manual
Hyundai EON Magna Plus,300000,31000,Petrol,Individual,Manual
Tata Indigo Classic Dicor,100000,39000,Diesel,Individual,Manual
Toyota Innova 2.5 V Diesel 8-seater,500000,120000,Diesel,Individual,Manual
Tata Indica Vista Quadrajet LS,125000,166000,Diesel,Individual,Manual
Maruti Swift 1.3 VXi,130000,110000,Petrol,Individual,Manual
Ford EcoSport 1.5 Diesel Titanium BSIV,925000,35000,Diesel,Individual,Manual
Maruti Ciaz 1.3 Delta,750000,60000,Diesel,Individual,Manual
Honda Civic 1.8 V AT,200000,54000,Petrol,Individual,Automatic
Hyundai i10 Sportz 1.2,248000,63000,Petrol,Individual,Manual
Skoda Rapid 1.5 TDI Elegance,450000,120000,Diesel,Individual,Manual
Hyundai Getz GLS,80000,120000,Petrol,Individual,Manual
Nissan Terrano XL,650000,76000,Petrol,Individual,Manual
Hyundai Grand i10 CRDi Sportz,450000,80000,Diesel,Individual,Manual
Hyundai Elite i20 Diesel Era,650000,25000,Diesel,Individual,Manual
Honda Amaze S i-VTEC,495000,11958,Petrol,Dealer,Manual
Honda Brio S MT,371000,20000,Petrol,Dealer,Manual
Hyundai Creta 1.6 SX Option,1025000,9000,Petrol,Dealer,Manual
Mercedes-Benz S-Class S 350d Connoisseurs Edition,8150000,6500,Diesel,Dealer,Automatic
